use_case_id,step_order,journey_step,human_role,user_action,agent_action,control,escalation_trigger,evidence_required
AAI-101,1,Intake,Relationship manager and credit analyst,Business user submits workflow pain point and expected outcome.,Checks intake completeness and maps the workflow to known systems.,"Reject intake if the target user, decision point, or source data owner is missing.","Missing owner, missing decision point, or unclear regulated action.","Intake form, source-system inventory, target user group."
AAI-101,2,Agent draft,Relationship manager and credit analyst,"Agent prepares a summary, recommendation, or packet for review.","Retrieves source context, drafts the work product, and cites evidence fields.","Require source links, confidence score, and blocked-action labels.","Low confidence, unsupported recommendation, client-facing wording.","Prompt version, source fields, confidence threshold, generated output."
AAI-101,3,Human review,Relationship manager and credit analyst,"Business reviewer accepts, edits, or rejects the agent output.",Captures edits and routes rejected outputs to test backlog.,No autonomous completion for regulated decisions or client commitments.,"Reviewer override, adverse action, legal language, policy exception.","Reviewer decision, edit log, exception reason."
AAI-101,4,Escalation,Relationship manager and credit analyst,"Risk, Compliance, Legal, or Technology reviews blocked cases.",Packages the evidence trail and suggested remediation path.,Escalate before release when defects repeat or evidence is incomplete.,"Repeat defect, missing audit trail, sensitive data concern.","Escalation ticket, control owner signoff, remediation note."
AAI-102,1,Intake,Payment operations specialist,Business user submits workflow pain point and expected outcome.,Checks intake completeness and maps the workflow to known systems.,"Reject intake if the target user, decision point, or source data owner is missing.","Missing owner, missing decision point, or unclear regulated action.","Intake form, source-system inventory, target user group."
AAI-102,2,Agent draft,Payment operations specialist,"Agent prepares a summary, recommendation, or packet for review.","Retrieves source context, drafts the work product, and cites evidence fields.","Require source links, confidence score, and blocked-action labels.","Low confidence, unsupported recommendation, client-facing wording.","Prompt version, source fields, confidence threshold, generated output."
AAI-102,3,Human review,Payment operations specialist,"Business reviewer accepts, edits, or rejects the agent output.",Captures edits and routes rejected outputs to test backlog.,No autonomous completion for regulated decisions or client commitments.,"Reviewer override, adverse action, legal language, policy exception.","Reviewer decision, edit log, exception reason."
AAI-102,4,Escalation,Payment operations specialist,"Risk, Compliance, Legal, or Technology reviews blocked cases.",Packages the evidence trail and suggested remediation path.,Escalate before release when defects repeat or evidence is incomplete.,"Repeat defect, missing audit trail, sensitive data concern.","Escalation ticket, control owner signoff, remediation note."
AAI-103,1,Intake,Onboarding analyst and compliance reviewer,Business user submits workflow pain point and expected outcome.,Checks intake completeness and maps the workflow to known systems.,"Reject intake if the target user, decision point, or source data owner is missing.","Missing owner, missing decision point, or unclear regulated action.","Intake form, source-system inventory, target user group."
AAI-103,2,Agent draft,Onboarding analyst and compliance reviewer,"Agent prepares a summary, recommendation, or packet for review.","Retrieves source context, drafts the work product, and cites evidence fields.","Require source links, confidence score, and blocked-action labels.","Low confidence, unsupported recommendation, client-facing wording.","Prompt version, source fields, confidence threshold, generated output."
