use_case_id,epic,story,acceptance_criteria,sprint,effort_points,dependency,status
AAI-101,Workflow intake and PRD evidence,"As a product manager, I need a validated intake packet for Commercial covenant exception triage so the team can refine scope with business, technology, and control partners.","Includes target user, source systems, decision point, control owner, success metric, and blocked autonomous actions.",Sprint 1,5,Business process owner,Ready
AAI-101,Human review and escalation,"As a relationship manager, I need every agent output for Commercial covenant exception triage to show why it can be accepted, edited, or escalated.","Shows evidence links, confidence threshold, reviewer action, escalation reason, and immutable audit event.",Sprint 2,8,Risk and Compliance signoff,In refinement
AAI-101,Pilot measurement,"As an AI Champion, I need adoption and outcome metrics for Commercial covenant exception triage so pilot feedback can drive the next backlog decision.","Tracks active users, automation rate, override rate, cycle-time movement, quality movement, trust score, and feedback theme.",Sprint 3,5,Analytics instrumentation,Planned
AAI-102,Workflow intake and PRD evidence,"As a product manager, I need a validated intake packet for Treasury payment investigation assistant so the team can refine scope with business, technology, and control partners.","Includes target user, source systems, decision point, control owner, success metric, and blocked autonomous actions.",Sprint 1,5,Business process owner,Ready
AAI-102,Human review and escalation,"As a payment operations specialist, I need every agent output for Treasury payment investigation assistant to show why it can be accepted, edited, or escalated.","Shows evidence links, confidence threshold, reviewer action, escalation reason, and immutable audit event.",Sprint 2,8,Risk and Compliance signoff,In refinement
AAI-102,Pilot measurement,"As an AI Champion, I need adoption and outcome metrics for Treasury payment investigation assistant so pilot feedback can drive the next backlog decision.","Tracks active users, automation rate, override rate, cycle-time movement, quality movement, trust score, and feedback theme.",Sprint 3,5,Analytics instrumentation,Planned
AAI-103,Workflow intake and PRD evidence,"As a product manager, I need a validated intake packet for KYC refresh evidence collector so the team can refine scope with business, technology, and control partners.","Includes target user, source systems, decision point, control owner, success metric, and blocked autonomous actions.",Sprint 1,5,Business process owner,Ready
AAI-103,Human review and escalation,"As a onboarding analyst, I need every agent output for KYC refresh evidence collector to show why it can be accepted, edited, or escalated.","Shows evidence links, confidence threshold, reviewer action, escalation reason, and immutable audit event.",Sprint 2,8,Risk and Compliance signoff,In refinement
AAI-103,Pilot measurement,"As an AI Champion, I need adoption and outcome metrics for KYC refresh evidence collector so pilot feedback can drive the next backlog decision.","Tracks active users, automation rate, override rate, cycle-time movement, quality movement, trust score, and feedback theme.",Sprint 3,5,Analytics instrumentation,Planned
AAI-104,Workflow intake and PRD evidence,"As a product manager, I need a validated intake packet for Institutional client service request router so the team can refine scope with business, technology, and control partners.","Includes target user, source systems, decision point, control owner, success metric, and blocked autonomous actions.",Sprint 1,5,Business process owner,Ready
AAI-104,Human review and escalation,"As a client service associate, I need every agent output for Institutional client service request router to show why it can be accepted, edited, or escalated.","Shows evidence links, confidence threshold, reviewer action, escalation reason, and immutable audit event.",Sprint 2,8,Risk and Compliance signoff,In refinement
AAI-104,Pilot measurement,"As an AI Champion, I need adoption and outcome metrics for Institutional client service request router so pilot feedback can drive the next backlog decision.","Tracks active users, automation rate, override rate, cycle-time movement, quality movement, trust score, and feedback theme.",Sprint 3,5,Analytics instrumentation,Planned
AAI-105,Workflow intake and PRD evidence,"As a product manager, I need a validated intake packet for Wealth onboarding packet reviewer so the team can refine scope with business, technology, and control partners.","Includes target user, source systems, decision point, control owner, success metric, and blocked autonomous actions.",Sprint 1,5,Business process owner,Ready
AAI-105,Human review and escalation,"As a advisor support specialist, I need every agent output for Wealth onboarding packet reviewer to show why it can be accepted, edited, or escalated.","Shows evidence links, confidence threshold, reviewer action, escalation reason, and immutable audit event.",Sprint 2,8,Risk and Compliance signoff,In refinement
AAI-105,Pilot measurement,"As an AI Champion, I need adoption and outcome metrics for Wealth onboarding packet reviewer so pilot feedback can drive the next backlog decision.","Tracks active users, automation rate, override rate, cycle-time movement, quality movement, trust score, and feedback theme.",Sprint 3,5,Analytics instrumentation,Planned
AAI-106,Workflow intake and PRD evidence,"As a product manager, I need a validated intake packet for Capital markets document intake summarizer so the team can refine scope with business, technology, and control partners.","Includes target user, source systems, decision point, control owner, success metric, and blocked autonomous actions.",Sprint 1,5,Business process owner,Ready
AAI-106,Human review and escalation,"As a operations analyst, I need every agent output for Capital markets document intake summarizer to show why it can be accepted, edited, or escalated.","Shows evidence links, confidence threshold, reviewer action, escalation reason, and immutable audit event.",Sprint 2,8,Risk and Compliance signoff,In refinement
AAI-106,Pilot measurement,"As an AI Champion, I need adoption and outcome metrics for Capital markets document intake summarizer so pilot feedback can drive the next backlog decision.","Tracks active users, automation rate, override rate, cycle-time movement, quality movement, trust score, and feedback theme.",Sprint 3,5,Analytics instrumentation,Planned
AAI-107,Workflow intake and PRD evidence,"As a product manager, I need a validated intake packet for Commercial card dispute packet assembler so the team can refine scope with business, technology, and control partners.","Includes target user, source systems, decision point, control owner, success metric, and blocked autonomous actions.",Sprint 1,5,Business process owner,Ready
AAI-107,Human review and escalation,"As a dispute operations specialist, I need every agent output for Commercial card dispute packet assembler to show why it can be accepted, edited, or escalated.","Shows evidence links, confidence threshold, reviewer action, escalation reason, and immutable audit event.",Sprint 2,8,Risk and Compliance signoff,In refinement
